usfm,UBV77,NKJV
GEN.1.1,Nẹ otọ rhe Ọghẹnẹ vwọ ma odjuvwu vẹ akpọ.,In the beginning God created the heavens and the earth.
GEN.1,"Nẹ otọ rhe Ọghẹnẹ vwọ ma odjuvwu vẹ akpọ. Akpọ na da de dia reghe reghe diodi, ebrin da enu rẹ akpọ na duvwu; Erhi rẹ Ọghẹnẹ kọye re yan vwẹ enu rẹ ame na. Etiyin Ọghẹnẹ da ta, E gbe jẹn orẹmrẹ dia, orẹmrẹ da ghene dia. Ọghẹnẹ da mrẹ nẹ orẹmrẹ na yoma; Ọghẹnẹ da hẹriẹ orẹmrẹ na nẹ ebrin na. Ọghẹnẹ de se orẹmrẹ na Uvo, o de rhe se ebrin na Ason. Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹsosuọ. Ọghẹnẹ da tanẹ, Gbe jẹn irharheghe dia uherevie rẹ ame na, rere ọ hẹriẹ ame na vwo nẹ ame na. Ọghẹnẹ da ma irharheghe na o da hẹriẹ ame rọ obotọ rẹ irharheghe na vwo nẹ ame rọ obenu rẹ irharheghe na. O da ghene dia ọtiọye. Ọghẹnẹ de se irharheghe na Odjuvwu. Te ovwọnvwọn te irhiọke da dia ẹdẹ rivẹ. Ọghẹnẹ da ta, Gbe jẹn ame rẹ otọ rẹ odjuvwu na rhi koko oma vwẹ asan ọvo, rere e ji otọ ọyaya vwẹ oma phia. Ọ da ghene dia ọtiọye. Ọghẹnẹ se otọ ọyaya na Otọ, ame rọ rha ghwe koko asan ọvo na o de rhe se Urhie, Ọghẹnẹ da mrẹ ne oyoma. Ọghẹnẹ da ta, Gbe jẹn otọ na di ẹbe, irhe re mọn kugbe irhe re emamọ rẹ ibi dia evun rayen, durhe doghere rọye vwe evun rẹ otọ na. O da ghene dia ọtiọye. Otọ na de ghine di ẹbe, irhe re mọn emamọ durhe doghere rọye kugbe irhe re mọn emamọ rẹ ibi dia evun rayen, durhe doghẹre rọye Ọghẹnẹ da mrẹ nẹ oyoma. Te ovwọnvwọn te irhiọke da dia ẹdẹ rerha. Ọghẹnẹ da ta, Gbe jẹn orẹmrẹ phia vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ hẹriẹ uvo nẹ ason, re ayen dia kẹ oka kugbe ọke vẹ ẹdẹ te ukpe, gbe jẹn ayen dia orẹmrẹ vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ vwẹ orẹmrẹ kẹ akpọ na. O da ghene dia ọtiọye. Ọghẹnẹ da ma irhukpẹ ride ive, urhukpẹ rode na kọye ri sun uvo, urhukpẹ re otete na kọye ri sun ason, ọ ke je ma isio rhe. Ọghẹnẹ de phi ayen phihọ irharheghe rẹ odjuvwu na re ọ vwẹ orẹmrẹ kẹ akpọ na, ri sun vwẹ enu rẹ uvo vẹ ason na, kugbe rere e rha hẹriẹ ebrin vwo nẹ orẹmrẹ. Ọghẹnẹ da mrẹ nẹ oyoma. Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹne. Ọghẹnẹ da ta, Gbe jẹn obo ri vwo arhọ ejobi vọn evun rẹ ame na, rere ephran rhan vwẹ enu rẹ akpọ na vwẹ irharheghe rẹ odjuvwu. Etiyin Ọghẹnẹ da ma eranvwe ride na, kugbe eranvwe keranvwe ekpokpọ re yan re rhẹrhẹ, re vọn evun rẹ ame na, dohwo doka rọye, kugbe ọphran kọphran ro vwo ibekpe dọphran doghere rọye. Ọghẹnẹ da mrẹ nẹ oyoma. Ọghẹnẹ da nẹ ẹrhovwo kẹ ayen tanẹ, We vwiẹ ri we bun phihọ re wa vọn ame rẹ urhie na, rere ephran rhe bun phihọ vwẹ enu rẹ akpọ na. Te ovwọnvwọn te irhiọke da dia ẹdẹ riyori. Ọghẹnẹ da ta, Gbe jẹn akpọ na vwẹ eranvwe ekpokpọ vwọ phia, kueranvwe kuoka, uchuru kugbe obo ri kpono kugbe eranvwe re djoma; deranvwe doka rayen. Ọ da ghene dia ọtiọye. Ọghẹnẹ da ma eranvwe rẹ akpọ na, deranvwe doka rayen kugbe uchuru okoka rọye, kugbe emu kemu ri kpono vwẹ otọ na okoka rọye. Ọghẹnẹ da mrẹ nẹ oyoma. Etiyin Ọghẹnẹ da ta, Gbe jẹn avwanre ma ohwo vwẹ oma rẹ avwanre, rọ họhọ avwanre, re ayen vwo ogangan vwẹ enu rẹ erin rẹ urhie, vwẹ enu rẹ ephran ri obenu, vwẹ enu rẹ uchuru, kugbe vwẹ enu rẹ akpọ na vẹ obo ri kpono vwẹ enu rẹ otọ na. Kọye Ọghẹnẹ da ma ohwo vwẹ oma rọye, oma rẹ Ọghẹnẹ ọye ọ vwọ ma ayen, ọshare vẹ aye ọ ma ayen. Etiyin Ọghẹnẹ da ta kẹ ayen, We vwiẹ ri we bun phihọ, re wa vọn akpọ na, ru we phio kparobọ, kugbe re we vwo ogangan vwẹ enu rẹ erin rẹ urhie, ephran ri obenu kugbe enu ri kemu kemu rọ yan vwe otọ na ejobi. Ọghẹnẹ da ta, Nighe, Me reyọ urhe kurhe rọ mọn ubi ejobi rọ enu rẹ otọ na vwọ kẹ wẹ, kugbe urhe kurhe rọ mọn emamọ kọ dia emuọre kẹ ovwan. Eranvwe keranvwe rọ otọ na, ọphran kọphran rọ obenu, emu kemu ri kpono vwẹ enu rẹ otọ na, emu kemu ro vwo ẹnwẹn vwẹ otọ na, Me vwẹ ẹbe ọkpokpọ na re dia emuọre ke ayen. Ọ da ghene dia ọtiọye. Ọghẹnẹ da mrẹ emu kemu rọ mare na, nighe, oyovwiri gangan Te ovwọnvwọn te irhiọke da dia ẹdẹ resan.","In the beginning God created the heavens and the earth. The earth was without form, and void; and darkness was on the face of the deep. And the Spirit of God was hovering over the face of the waters. Then God said, “Let there be light”; and there was light. And God saw the light, that it was good; and God divided the light from the darkness. God called the light Day, and the darkness He called Night. So the evening and the morning were the first day. Then God said, “Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.” Thus God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament; and it was so. And God called the firmament Heaven. So the evening and the morning were the second day. Then God said, “Let the waters under the heavens be gathered together into one place, and let the dry land appear”; and it was so. And God called the dry land Earth, and the gathering together of the waters He called Seas. And God saw that it was good. Then God said, “Let the earth bring forth grass, the herb that yields seed, and the fruit tree that yields fruit according to its kind, whose seed is in itself, on the earth”; and it was so. And the earth brought forth grass, the herb that yields seed according to its kind, and the tree that yields fruit, whose seed is in itself according to its kind. And God saw that it was good. So the evening and the morning were the third day. Then God said, “Let there be lights in the firmament of the heavens to divide the day from the night; and let them be for signs and seasons, and for days and years; and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so. Then God made two great lights: the greater light to rule the day, and the lesser light to rule the night. He made the stars also. God set them in the firmament of the heavens to give light on the earth, and to rule over the day and over the night, and to divide the light from the darkness. And God saw that it was good. So the evening and the morning were the fourth day. Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.” So God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw that it was good. And God blessed them, saying, “Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.” So the evening and the morning were the fifth day. Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth, each according to its kind”; and it was so. And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw that it was good. Then God said, “Let Us make man in Our image, according to Our likeness; let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth.” So God created man in His own image; in the image of God He created him; male and female He created them. Then God blessed them, and God said to them, “Be fruitful and multiply; fill the earth and subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.” And God said, “See, I have given you every herb that yields seed which is on the face of all the earth, and every tree whose fruit yields seed; to you it shall be for food. Also, to every beast of the earth, to every bird of the air, and to everything that creeps on the earth, in which there is life, I have given every green herb for food”; and it was so. Then God saw everything that He had made, and indeed it was very good. So the evening and the morning were the sixth day."
GEN.1.2,"Akpọ na da de dia reghe reghe diodi, ebrin da enu rẹ akpọ na duvwu; Erhi rẹ Ọghẹnẹ kọye re yan vwẹ enu rẹ ame na.","The earth was without form, and void; and darkness was on the face of the deep. And the Spirit of God was hovering over the face of the waters."
GEN.1.3,"Etiyin Ọghẹnẹ da ta, E gbe jẹn orẹmrẹ dia, orẹmrẹ da ghene dia.","Then God said, “Let there be light”; and there was light."
GEN.1.4,Ọghẹnẹ da mrẹ nẹ orẹmrẹ na yoma; Ọghẹnẹ da hẹriẹ orẹmrẹ na nẹ ebrin na.,"And God saw the light, that it was good; and God divided the light from the darkness."
GEN.1.5,"Ọghẹnẹ de se orẹmrẹ na Uvo, o de rhe se ebrin na Ason. Te ovwọnvwọn te irhiọke da dia ẹdẹ rẹsosuọ.","God called the light Day, and the darkness He called Night. So the evening and the morning were the first day."
GEN.1.6,"Ọghẹnẹ da tanẹ, Gbe jẹn irharheghe dia uherevie rẹ ame na, rere ọ hẹriẹ ame na vwo nẹ ame na.","Then God said, “Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.”"
GEN.1.7,Ọghẹnẹ da ma irharheghe na o da hẹriẹ ame rọ obotọ rẹ irharheghe na vwo nẹ ame rọ obenu rẹ irharheghe na. O da ghene dia ọtiọye.,"Thus God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament; and it was so."
GEN.1.8,,And God called the firmament Heaven. So the evening and the morning were the second day.
GEN.1.9,"Ọghẹnẹ da ta, Gbe jẹn ame rẹ otọ rẹ odjuvwu na rhi koko oma vwẹ asan ọvo, rere e ji otọ ọyaya vwẹ oma phia. Ọ da ghene dia ọtiọye.","Then God said, “Let the waters under the heavens be gathered together into one place, and let the dry land appear”; and it was so."
GEN.1.10,"Ọghẹnẹ se otọ ọyaya na Otọ, ame rọ rha ghwe koko asan ọvo na o de rhe se Urhie, Ọghẹnẹ da mrẹ ne oyoma.","And God called the dry land Earth, and the gathering together of the waters He called Seas. And God saw that it was good."
GEN.1.11,"Ọghẹnẹ da ta, Gbe jẹn otọ na di ẹbe, irhe re mọn kugbe irhe re emamọ rẹ ibi dia evun rayen, durhe doghere rọye vwe evun rẹ otọ na. O da ghene dia ọtiọye.","Then God said, “Let the earth bring forth grass, the herb that yields seed, and the fruit tree that yields fruit according to its kind, whose seed is in itself, on the earth”; and it was so."
GEN.1.12,"Otọ na de ghine di ẹbe, irhe re mọn emamọ durhe doghere rọye kugbe irhe re mọn emamọ rẹ ibi dia evun rayen, durhe doghẹre rọye Ọghẹnẹ da mrẹ nẹ oyoma.","And the earth brought forth grass, the herb that yields seed according to its kind, and the tree that yields fruit, whose seed is in itself according to its kind. And God saw that it was good."
GEN.1.13,,So the evening and the morning were the third day.
GEN.1.14,"Ọghẹnẹ da ta, Gbe jẹn orẹmrẹ phia vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ hẹriẹ uvo nẹ ason, re ayen dia kẹ oka kugbe ọke vẹ ẹdẹ te ukpe,","Then God said, “Let there be lights in the firmament of the heavens to divide the day from the night; and let them be for signs and seasons, and for days and years;"
GEN.1.15,gbe jẹn ayen dia orẹmrẹ vwẹ evun rẹ irharheghe rẹ odjuvwu na rọ vwẹ orẹmrẹ kẹ akpọ na. O da ghene dia ọtiọye.,and let them be for lights in the firmament of the heavens to give light on the earth”; and it was so.
GEN.1.16,"Ọghẹnẹ da ma irhukpẹ ride ive, urhukpẹ rode na kọye ri sun uvo, urhukpẹ re otete na kọye ri sun ason, ọ ke je ma isio rhe.","Then God made two great lights: the greater light to rule the day, and the lesser light to rule the night. He made the stars also."
GEN.1.17,"Ọghẹnẹ de phi ayen phihọ irharheghe rẹ odjuvwu na re ọ vwẹ orẹmrẹ kẹ akpọ na,","God set them in the firmament of the heavens to give light on the earth,"
GEN.1.18,"ri sun vwẹ enu rẹ uvo vẹ ason na, kugbe rere e rha hẹriẹ ebrin vwo nẹ orẹmrẹ. Ọghẹnẹ da mrẹ nẹ oyoma.","and to rule over the day and over the night, and to divide the light from the darkness. And God saw that it was good."
GEN.1.19,,So the evening and the morning were the fourth day.
GEN.1.20,"Ọghẹnẹ da ta, Gbe jẹn obo ri vwo arhọ ejobi vọn evun rẹ ame na, rere ephran rhan vwẹ enu rẹ akpọ na vwẹ irharheghe rẹ odjuvwu.","Then God said, “Let the waters abound with an abundance of living creatures, and let birds fly above the earth across the face of the firmament of the heavens.”"
GEN.1.21,"Etiyin Ọghẹnẹ da ma eranvwe ride na, kugbe eranvwe keranvwe ekpokpọ re yan re rhẹrhẹ, re vọn evun rẹ ame na, dohwo doka rọye, kugbe ọphran kọphran ro vwo ibekpe dọphran doghere rọye. Ọghẹnẹ da mrẹ nẹ oyoma.","So God created great sea creatures and every living thing that moves, with which the waters abounded, according to their kind, and every winged bird according to its kind. And God saw that it was good."
GEN.1.22,"Ọghẹnẹ da nẹ ẹrhovwo kẹ ayen tanẹ, We vwiẹ ri we bun phihọ re wa vọn ame rẹ urhie na, rere ephran rhe bun phihọ vwẹ enu rẹ akpọ na.","And God blessed them, saying, “Be fruitful and multiply, and fill the waters in the seas, and let birds multiply on the earth.”"
GEN.1.23,,So the evening and the morning were the fifth day.
GEN.1.24,"Ọghẹnẹ da ta, Gbe jẹn akpọ na vwẹ eranvwe ekpokpọ vwọ phia, kueranvwe kuoka, uchuru kugbe obo ri kpono kugbe eranvwe re djoma; deranvwe doka rayen. Ọ da ghene dia ọtiọye.","Then God said, “Let the earth bring forth the living creature according to its kind: cattle and creeping thing and beast of the earth, each according to its kind”; and it was so."
GEN.1.25,,"And God made the beast of the earth according to its kind, cattle according to its kind, and everything that creeps on the earth according to its kind. And God saw that it was good."
GEN.1.26,"Etiyin Ọghẹnẹ da ta, Gbe jẹn avwanre ma ohwo vwẹ oma rẹ avwanre, rọ họhọ avwanre, re ayen vwo ogangan vwẹ enu rẹ erin rẹ urhie, vwẹ enu rẹ ephran ri obenu, vwẹ enu rẹ uchuru, kugbe vwẹ enu rẹ akpọ na vẹ obo ri kpono vwẹ enu rẹ otọ na.","Then God said, “Let Us make man in Our image, according to Our likeness; let them have dominion over the fish of the sea, over the birds of the air, and over the cattle, over all the earth and over every creeping thing that creeps on the earth.”"
GEN.1.27,"Kọye Ọghẹnẹ da ma ohwo vwẹ oma rọye, oma rẹ Ọghẹnẹ ọye ọ vwọ ma ayen, ọshare vẹ aye ọ ma ayen.",So God created man in His own image; in the image of God He created him; male and female He created them.
GEN.1.28,"Etiyin Ọghẹnẹ da ta kẹ ayen, We vwiẹ ri we bun phihọ, re wa vọn akpọ na, ru we phio kparobọ, kugbe re we vwo ogangan vwẹ enu rẹ erin rẹ urhie, ephran ri obenu kugbe enu ri kemu kemu rọ yan vwe otọ na ejobi.","Then God blessed them, and God said to them, “Be fruitful and multiply; fill the earth and subdue it; have dominion over the fish of the sea, over the birds of the air, and over every living thing that moves on the earth.”"
GEN.1.29,"Ọghẹnẹ da ta, Nighe, Me reyọ urhe kurhe rọ mọn ubi ejobi rọ enu rẹ otọ na vwọ kẹ wẹ, kugbe urhe kurhe rọ mọn emamọ kọ dia emuọre kẹ ovwan.","And God said, “See, I have given you every herb that yields seed which is on the face of all the earth, and every tree whose fruit yields seed; to you it shall be for food."
GEN.1.30,"Eranvwe keranvwe rọ otọ na, ọphran kọphran rọ obenu, emu kemu ri kpono vwẹ enu rẹ otọ na, emu kemu ro vwo ẹnwẹn vwẹ otọ na, Me vwẹ ẹbe ọkpokpọ na re dia emuọre ke ayen. Ọ da ghene dia ọtiọye.","Also, to every beast of the earth, to every bird of the air, and to everything that creeps on the earth, in which there is life, I have given every green herb for food”; and it was so."
GEN.1.31,"Ọghẹnẹ da mrẹ emu kemu rọ mare na, nighe, oyovwiri gangan Te ovwọnvwọn te irhiọke da dia ẹdẹ resan.","Then God saw everything that He had made, and indeed it was very good. So the evening and the morning were the sixth day."
